Mother,Cross,Sample,SampleID,Fertilised,Unfertilised,Proportion,Percentage
F1,FF,1,F1_FF_1,82,18,0.82,82
F1,FF,2,F1_FF_2,88,12,0.88,88
F1,FF,3,F1_FF_3,90,10,0.9,90
F1,FS,1,F1_FS_1,91,9,0.91,91
F1,FS,2,F1_FS_2,90,10,0.9,90
F1,FS,3,F1_FS_3,93,7,0.93,93
F8,FS,1,F8_FS_1,92,8,0.92,92
F8,FS,2,F8_FS_2,85,15,0.85,85
F8,FS,3,F8_FS_3,87,13,0.87,87
F10,FS,1,F10_FS_1,91,9,0.91,91
F10,FS,2,F10_FS_2,90,10,0.9,90
F10,FS,3,F10_FS_3,94,6,0.94,94
F11,FS,1,F11_FS_1,88,12,0.88,88
F12,FS,1,F12_FS_1,79,21,0.79,79
F8,FF,1,F8_FF_1,93,7,0.93,93
F8,FF,2,F8_FF_2,94,6,0.94,94
F8,FF,3,F8_FF_3,94,6,0.94,94
F10,FF,1,F10_FF_1,83,17,0.83,83
F10,FF,2,F10_FF_2,85,15,0.85,85
F10,FF,3,F10_FF_3,87,13,0.87,87
F11,FF,1,F11_FF_1,91,9,0.91,91
F11,FF,2,F11_FF_2,83,17,0.83,83
F11,FF,3,F11_FF_3,90,10,0.9,90
F12,FF,1,F12_FF_1,85,15,0.85,85
F12,FF,2,F12_FF_2,90,10,0.9,90
F12,FF,3,F12_FF_3,83,17,0.83,83
S12,SS,1,S12_SS_1,99,1,0.99,99
S12,SS,2,S12_SS_2,93,7,0.93,93
S12,SS,3,S12_SS_3,97,3,0.97,97
S12,SF,1,S12_SF_1,94,6,0.94,94
S12,SF,2,S12_SF_2,92,8,0.92,92
S12,SF,3,S12_SF_3,95,5,0.95,95
S11,SS,1,S11_SS_1,78,22,0.78,78
S11,SS,2,S11_SS_2,78,22,0.78,78
S11,SS,3,S11_SS_3,71,29,0.71,71
S11,SF,1,S11_SF_1,77,23,0.77,77
S11,SF,2,S11_SF_2,73,27,0.73,73
S11,SF,3,S11_SF_3,76,24,0.76,76
S9,SS,1,S9_SS_1,96,4,0.96,96
S9,SS,2,S9_SS_2,91,9,0.91,91
S9,SS,3,S9_SS_3,91,9,0.91,91
S9,SF,1,S9_SF_1,97,3,0.97,97
S9,SF,2,S9_SF_2,97,3,0.97,97
S9,SF,3,S9_SF_3,95,5,0.95,95
S6,SS,1,S6_SS_1,82,18,0.82,82
S6,SS,2,S6_SS_2,83,17,0.83,83
S6,SS,3,S6_SS_3,85,15,0.85,85
S6,SF,1,S6_SF_1,90,10,0.9,90
S6,SF,2,S6_SF_2,87,13,0.87,87
S6,SF,3,S6_SF_3,87,13,0.87,87
S5,SS,1,S5_SS_1,89,11,0.89,89
S5,SS,2,S5_SS_2,94,6,0.94,94
S5,SS,3,S5_SS_3,92,8,0.92,92
S5,SF,1,S5_SF_1,96,4,0.96,96
S5,SF,2,S5_SF_2,96,4,0.96,96
S5,SF,3,S5_SF_3,96,4,0.96,96
S4,SS,1,S4_SS_1,92,8,0.92,92
S4,SS,2,S4_SS_2,91,9,0.91,91
S4,SS,3,S4_SS_3,97,3,0.97,97
S4,SF,1,S4_SF_1,97,3,0.97,97
S4,SF,2,S4_SF_2,98,2,0.98,98
S4,SF,3,S4_SF_3,99,1,0.99,99
S3,SS,1,S3_SS_1,97,3,0.97,97
S3,SS,2,S3_SS_2,96,4,0.96,96
S3,SS,3,S3_SS_3,96,4,0.96,96
S3,SF,1,S3_SF_1,92,8,0.92,92
S3,SF,2,S3_SF_2,93,7,0.93,93
S3,SF,3,S3_SF_3,97,3,0.97,97
S2,SS,1,S2_SS_1,97,3,0.97,97
S2,SS,2,S2_SS_2,91,9,0.91,91
S2,SS,3,S2_SS_3,NA,NA,NA,NA
S2,SF,1,S2_SF_1,94,6,0.94,94
S2,SF,2,S2_SF_2,95,5,0.95,95
S2,SF,3,S2_SF_3,96,4,0.96,96
S1,SS,1,S1_SS_1,97,3,0.97,97
S1,SS,2,S1_SS_2,95,5,0.95,95
S1,SS,3,S1_SS_3,96,4,0.96,96
S1,SF,1,S1_SF_1,95,5,0.95,95
S1,SF,2,S1_SF_2,96,4,0.96,96
S1,SF,3,S1_SF_3,NA,NA,NA,NA
